food_id,food_name,category,serving_size,calories_kcal_est,protein_g_est,carbohydrates_g_est,fat_g_est,fiber_g_est,sugar_g_est,sodium_mg_est,calcium_mg_est,iron_mg_est,vitamin_c_mg_est,vitamin_a_ug_est,vegetarian,vegan,data_type,source_note
FERA00056,Little millet,Cereals & Grains,25 g/ml,95.2,2.6,20.77,0.87,2.02,2.08,46.1,23.1,0.35,0.3,5.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00057,Little millet,Cereals & Grains,50 g/ml,190.3,5.19,41.53,1.73,4.04,4.15,92.3,46.1,0.69,0.6,11.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00058,Little millet,Cereals & Grains,100 g/ml,380.7,10.38,83.06,3.46,8.08,8.31,184.6,92.3,1.38,1.2,23.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00059,Little millet,Cereals & Grains,150 g/ml,571,15.57,124.59,5.19,12.11,12.46,276.9,138.4,2.08,1.7,34.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00060,Little millet,Cereals & Grains,200 g/ml,761.4,20.77,166.12,6.92,16.15,16.61,369.2,184.6,2.77,2.3,46.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00061,Kodo millet,Cereals & Grains,25 g/ml,86.8,2.37,18.93,0.79,1.84,1.89,42.1,21,0.32,0.3,5.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00062,Kodo millet,Cereals & Grains,50 g/ml,173.5,4.73,37.86,1.58,3.68,3.79,84.1,42.1,0.63,0.5,10.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00063,Kodo millet,Cereals & Grains,100 g/ml,347.1,9.47,75.73,3.16,7.36,7.57,168.3,84.1,1.26,1.1,21,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00064,Kodo millet,Cereals & Grains,150 g/ml,520.6,14.2,113.59,4.73,11.04,11.36,252.4,126.2,1.89,1.6,31.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00065,Kodo millet,Cereals & Grains,200 g/ml,694.2,18.93,151.46,6.31,14.73,15.15,336.6,168.3,2.52,2.1,42.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00066,Barnyard millet,Cereals & Grains,25 g/ml,92.1,2.51,20.09,0.84,1.95,2.01,44.6,22.3,0.33,0.3,5.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00067,Barnyard millet,Cereals & Grains,50 g/ml,184.2,5.02,40.18,1.67,3.91,4.02,89.3,44.6,0.67,0.6,11.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00068,Barnyard millet,Cereals & Grains,100 g/ml,368.3,10.05,80.37,3.35,7.81,8.04,178.6,89.3,1.34,1.1,22.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00069,Barnyard millet,Cereals & Grains,150 g/ml,552.5,15.07,120.55,5.02,11.72,12.05,267.9,133.9,2.01,1.7,33.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00070,Barnyard millet,Cereals & Grains,200 g/ml,736.7,20.09,160.73,6.7,15.63,16.07,357.2,178.6,2.68,2.2,44.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00071,Proso millet,Cereals & Grains,25 g/ml,80.8,2.2,17.63,0.73,1.71,1.76,39.2,19.6,0.29,0.2,4.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00072,Proso millet,Cereals & Grains,50 g/ml,161.6,4.41,35.27,1.47,3.43,3.53,78.4,39.2,0.59,0.5,9.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00073,Proso millet,Cereals & Grains,100 g/ml,323.3,8.82,70.53,2.94,6.86,7.05,156.7,78.4,1.18,1,19.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00074,Proso millet,Cereals & Grains,150 g/ml,484.9,13.22,105.8,4.41,10.29,10.58,235.1,117.6,1.76,1.5,29.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00075,Proso millet,Cereals & Grains,200 g/ml,646.6,17.63,141.07,5.88,13.71,14.11,313.5,156.7,2.35,2,39.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00076,Sorghum,Cereals & Grains,25 g/ml,74.4,2.03,16.23,0.68,1.58,1.62,36.1,18,0.27,0.2,4.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00077,Sorghum,Cereals & Grains,50 g/ml,148.8,4.06,32.47,1.35,3.16,3.25,72.1,36.1,0.54,0.5,9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00078,Sorghum,Cereals & Grains,100 g/ml,297.6,8.12,64.93,2.71,6.31,6.49,144.3,72.1,1.08,0.9,18,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00079,Sorghum,Cereals & Grains,150 g/ml,446.4,12.17,97.4,4.06,9.47,9.74,216.4,108.2,1.62,1.4,27.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00080,Sorghum,Cereals & Grains,200 g/ml,595.2,16.23,129.86,5.41,12.63,12.99,288.6,144.3,2.16,1.8,36.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00081,Quinoa,Cereals & Grains,25 g/ml,84.1,2.29,18.35,0.76,1.78,1.84,40.8,20.4,0.31,0.3,5.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00082,Quinoa,Cereals & Grains,50 g/ml,168.2,4.59,36.71,1.53,3.57,3.67,81.6,40.8,0.61,0.5,10.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00083,Quinoa,Cereals & Grains,100 g/ml,336.5,9.18,73.41,3.06,7.14,7.34,163.1,81.6,1.22,1,20.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00084,Quinoa,Cereals & Grains,150 g/ml,504.7,13.77,110.12,4.59,10.71,11.01,244.7,122.4,1.84,1.5,30.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00085,Quinoa,Cereals & Grains,200 g/ml,673,18.35,146.83,6.12,14.28,14.68,326.3,163.1,2.45,2,40.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00086,Barley,Cereals & Grains,25 g/ml,69.5,1.9,15.17,0.63,1.48,1.52,33.7,16.9,0.25,0.2,4.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00087,Barley,Cereals & Grains,50 g/ml,139.1,3.79,30.35,1.26,2.95,3.03,67.4,33.7,0.51,0.4,8.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00088,Barley,Cereals & Grains,100 g/ml,278.2,7.59,60.69,2.53,5.9,6.07,134.9,67.4,1.01,0.8,16.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00089,Barley,Cereals & Grains,150 g/ml,417.3,11.38,91.04,3.79,8.85,9.1,202.3,101.2,1.52,1.3,25.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00090,Barley,Cereals & Grains,200 g/ml,556.4,15.17,121.39,5.06,11.8,12.14,269.8,134.9,2.02,1.7,33.7,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00091,Rolled oats,Cereals & Grains,25 g/ml,92.2,2.52,20.12,0.84,1.96,2.01,44.7,22.4,0.34,0.3,5.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00092,Rolled oats,Cereals & Grains,50 g/ml,184.5,5.03,40.25,1.68,3.91,4.02,89.4,44.7,0.67,0.6,11.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00093,Rolled oats,Cereals & Grains,100 g/ml,368.9,10.06,80.49,3.35,7.83,8.05,178.9,89.4,1.34,1.1,22.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00094,Rolled oats,Cereals & Grains,150 g/ml,553.4,15.09,120.74,5.03,11.74,12.07,268.3,134.2,2.01,1.7,33.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00095,Rolled oats,Cereals & Grains,200 g/ml,737.8,20.12,160.98,6.71,15.65,16.1,357.7,178.9,2.68,2.2,44.7,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00096,Steel-cut oats,Cereals & Grains,25 g/ml,86.4,2.36,18.85,0.79,1.83,1.89,41.9,20.9,0.31,0.3,5.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00097,Steel-cut oats,Cereals & Grains,50 g/ml,172.8,4.71,37.71,1.57,3.67,3.77,83.8,41.9,0.63,0.5,10.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00098,Steel-cut oats,Cereals & Grains,100 g/ml,345.6,9.43,75.41,3.14,7.33,7.54,167.6,83.8,1.26,1,20.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00099,Steel-cut oats,Cereals & Grains,150 g/ml,518.5,14.14,113.12,4.71,11,11.31,251.4,125.7,1.89,1.6,31.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00100,Steel-cut oats,Cereals & Grains,200 g/ml,691.3,18.85,150.83,6.28,14.66,15.08,335.2,167.6,2.51,2.1,41.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00101,Cornmeal,Cereals & Grains,25 g/ml,90.2,2.46,19.67,0.82,1.91,1.97,43.7,21.9,0.33,0.3,5.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00102,Cornmeal,Cereals & Grains,50 g/ml,180.3,4.92,39.34,1.64,3.83,3.93,87.4,43.7,0.66,0.5,10.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
